Image Path,SKU,Part Name,Category,Available Quantity,Min Quantity,Aisle,Bin,Distinguishers,Aliases,Metadata
,GPU-A100-80GB-PCIE,NVIDIA A100 80GB PCIe,GPU,3,2,A12,03-02-1,Full-height PCIe GPU; 80GB label; NVIDIA A100 marking; passive heatsink; 8-pin power,A100 80GB;A100 PCIe;PNY A100 80GB PCIe;GPU A100,"PCIe, accelerator, compute GPU, passive cooling, 80GB HBM2e, data center, GPU test"
,GPU-H100-80GB-PCIE,NVIDIA H100 80GB PCIe,GPU,2,2,A12,03-03-2,H100 label; PCIe edge connector; large passive thermal module; 80GB marking,H100;H100 PCIe;NVIDIA H100;GPU H100,"PCIe Gen5, accelerator, Hopper, 80GB HBM3, passive cooling, data center, GPU test"
,GPU-L40S-48GB,NVIDIA L40S 48GB,GPU,4,2,A13,01-01-1,L40S label; dual-slot PCIe card; 48GB marking; blower-style shroud,L40S;L40S 48GB;GPU L40S,"Ada, 48GB GDDR6, graphics GPU, inference, workstation server, dual slot"
,HDD-HGST-20TB-SATA,HGST Ultrastar 20TB SATA,Hard Disk,5,2,B05,01-04-2,3.5 inch HDD; HGST Ultrastar label; 20TB; SATA connector,HGST 20TB;Ultrastar 20TB;20TB SATA;Hard Disk,"3.5 inch, SATA, 20TB, enterprise HDD, storage, drive sled"
,HDD-SEAGATE-18TB-SAS,Seagate Exos 18TB SAS,Hard Disk,7,2,B05,01-04-3,3.5 inch HDD; Seagate Exos label; 18TB; SAS connector,Seagate 18TB;Exos 18TB;18TB SAS;Hard Disk,"3.5 inch, SAS, 18TB, enterprise HDD, storage, drive sled"
,M2-SAMSUNG-980PRO-2TB,Samsung 980 PRO 2TB M.2,M.2 Drives,1,4,A08,02-01-3,M.2 2280 form factor; Samsung 980 PRO label; NVMe; 2TB,Samsung 980 PRO;980 PRO 2TB;M.2 2TB;NVMe 2TB,"M.2 2280, NVMe, PCIe SSD, 2TB, boot drive, Samsung"
,M2-WD-SN850X-4TB,WD Black SN850X 4TB M.2,M.2 Drives,6,4,A08,02-01-4,M.2 2280 form factor; WD Black SN850X label; NVMe; 4TB,SN850X;WD Black;M.2 4TB;NVMe 4TB,"M.2 2280, NVMe, PCIe SSD, 4TB, boot drive, Western Digital"
,NIC-MCX6-200GBE,Mellanox ConnectX-6 200GbE,Network Card,3,2,C03,01-02-1,PCIe network card; dual QSFP ports; ConnectX-6 label; 200GbE,ConnectX-6;Mellanox 200GbE;CX6;Network Card;NIC,"Mellanox, InfiniBand, Ethernet, 200GbE, dual QSFP, PCIe NIC, adapter card"
,RISER-NV-4U-PCIE,NVIDIA 4U PCIe Riser Card,Riser Card,6,2,A07,04-03-1,Right-angle PCIe riser; 4U bracket; NVIDIA part label,PCIe riser;4U riser;Riser Card;GPU riser,"right angle, PCIe x16, 4U chassis, GPU riser, server riser"
,TRANS-QTM2,NVIDIA Quantum-2 Transposer,Transposer,2,1,C11,01-01-1,Quantum-2 label; transposer board; high-density board connectors,Quantum-2;Transposer;QTM2,"Quantum-2, transposer board, interconnect, switch board, high density connector"
,CBL-MINISAS-HD-4X-SATA,MiniSAS HD to 4x SATA Cable,Cables,18,5,D02,05-02-2,MiniSAS HD SFF-8643 connector; four SATA fanout ends; black cable bundle,MiniSAS HD;SFF-8643;SATA fanout;cable,"SFF-8643, MiniSAS HD, SATA fanout, storage cable, breakout cable"
,CBL-C13-C14-2M,C13 to C14 Power Cable 2m,Cables,26,10,D02,03-01-4,IEC C13 female; IEC C14 male; 2 meter power cord; black jacket,C13 C14;power cable;IEC cable;PDU cable,"IEC, power cord, rack power, PDU, C13 female, C14 male, 2 meter"
,PDU-APC-32A-3PH,APC 32A 3PH Rack PDU,PDU,4,2,E01,02-02-1,APC label; rack PDU; 32A; three phase; outlet bank,APC PDU;32A PDU;3 phase PDU;Rack PDU,"APC, rack PDU, 32A, three phase, power distribution, outlet bank"
,PSU-DELTA-12V-2400W,Delta 12V 2.4kW Power Supply,PSU,7,2,E03,01-03-1,Delta label; 12V output; 2400W marking; hot-swap PSU handle,Delta PSU;2400W PSU;2.4kW power supply;PSU,"Delta, 12V, 2400W, 2.4kW, hot swap, server power supply"
,SERVER-DELL-R760,Dell PowerEdge R760 Server,Server,3,1,F01,01-01-1,Dell PowerEdge R760 bezel; 2U server chassis; service tag label,R760;PowerEdge R760;Dell server;Server,"Dell, PowerEdge, 2U, rack server, chassis, service tag, host system"
,HOSE-WC-1.5M-QD,Water Cool Hose 1.5m Quick Disconnect,Water Cool Hose,14,5,D04,03-01-2,1.5m hose; quick disconnect couplers; coolant line; braided sleeve,water hose;cooling hose;quick disconnect hose;coolant hose,"liquid cooling, coolant hose, quick disconnect, QD, 1.5m, braided sleeve"
